original	original_phase2	gsed	gsed2	gsed3	sequential	instrument	seq_phase1	seq_phase2	label
Ma_SF_C49	Ma_SF_C47	cromoc011	gpamoc049	gs1moc047	C49	SF	49	47	Can your child hold him/herself in a sitting position without help or support for longer than a few seconds? 
Ma_SF_C48	Ma_SF_C48	croclc011	gpaclc048	gs1moc048	C48	SF	48	48	Does your child intentionally move or change his/her position to get objects that are out of reach? 
Ma_SF_C51	Ma_SF_C49	iyolgc006	gpalgc051	gs1lgc049	C51	SF	51	49	Does your child make two similar sounds together like baba, mumu, pepe, didi (single consonant vowel combinations)?
Ma_SF_C36	Ma_SF_C50	aqigmc012	gpagmc036	gs1moc050	C36	SF	36	50	When you put your child on the floor, can she lean on her hands while sitting?
Ma_SF_C52	Ma_SF_C51	iyomoc012	gpamoc052	gs1moc051	C52	SF	52	51	Can your child pass a small object from one hand to the other?
Ma_SF_C50	Ma_SF_C52	iyomoc011	gpamoc050	gs1moc052	C50	SF	50	52	Can your child bang objects together, or bang an object on the table or on the ground?
Ma_SF_C64	Ma_SF_C53	mdtsed012	gpasec064	gs1lic053	C64	SF	64	53	Can your child pick up small bits of food and feed him/her-self using his/her hand?
Ma_SF_C58	Ma_SF_C54	cromoc022	gpamoc058	gs1moc054	C58	SF	58	54	Can your child pick up and drop a small object (e.g., a small toy or small stone) into a bucket or bowl while sitting? 
Ma_SF_C54	Ma_SF_C55	cromoc015	gpamoc054	gs1moc055	C54	SF	54	55	Can your child maintain a standing position while holding on to a person or object (e.g., wall or furniture)? 
Ma_SF_C53	Ma_SF_C56	cromoc019	gpamoc053	gs1moc056	C53	SF	53	56	Can your child pick up a small object (e.g., a piece of food, small toy or small stone) with just his/her thumb and one finger? 
Ma_SF_C56	Ma_SF_C57	iyomoc016	gpamoc056	gs1moc057	C56	SF	56	57	Can your child pull themselves up from the floor while holding onto something? For example, can they pull themselves up using a chair, a person, or some other object?
Ma_SF_C59	Ma_SF_C58	crosec014	gpalgc059	gs1lgc058	C59	SF	59	58	"Does your child stop what he/she is doing when you say ""Stop!"" even if just for a second?"
Ma_SF_C60	Ma_SF_C59	cromoc018	gpamoc060	gs1moc059	C60	SF	60	59	Can your child walk several steps while holding on to a person or object (e.g., wall or furniture)? 
Ma_SF_C55	Ma_SF_C60	aqigmc021	gpagmc055	gs1moc060	C55	SF	55	60	While holding onto furniture, can your child bend down and pick up a small object from the floor and then return to a standing position?
Ma_SF_C57	Ma_SF_C61	aqigmc020	gpagmc057	gs1moc061	C57	SF	57	61	While holding onto furniture, does your child squat with control (without falling or flopping down)?
Ma_SF_C68	Ma_SF_C62	mdtlgd009	gpalgc068	gs1lgc062	C68	SF	68	62	"Does your child make a gesture to indicate ""No"" (e.g., shaking head)?"
Ma_SF_C82	Ma_SF_C63	mdtsed016	gpasec082	gs1sec063	C82	SF	82	63	Even if your child is unable to do singing games, does he/she enjoy them and want to be a part of them?
Ma_SF_C61	Ma_SF_C64	iyomoc020	gpamoc061	gs1moc064	C61	SF	61	64	Can your child stand up without holding onto anything, even if just for a few seconds?
Ma_SF_C75	Ma_SF_C65	mdtsed013	gpasec075	gs1lic065	C75	SF	75	65	Does your child put his/her hands out to have them washed?
Ma_SF_C62	Ma_SF_C66	cromoc017	gpamoc062	gs1moc066	C62	SF	62	66	Can your child maintain a standing position on his/her own, without holding on or receiving support? 
Ma_SF_C74	Ma_SF_C67	vinxxc007	gpaxxc074	gs1lic067	C74	SF	74	67	Can your child drink from an open cup without help?
Ma_SF_C65	Ma_SF_C68	iyomoc022	gpamoc065	gs1moc068	C65	SF	65	68	Can your child climb onto an object (rock, porch, step, chair, bed, low table, etc.)?
Ma_SF_C63	Ma_SF_C69	iyomoc021	gpamoc063	gs1moc069	C63	SF	63	69	Can your child make any light marks on paper or in dirt with a crayon or a stick?
Ma_SF_C70	Ma_SF_C70	iyomoc023	gpamoc070	gs1moc070	C70	SF	70	70	Can your child bend down or squat to pick up an object from the floor and then stand up again, without help from a person or object?
Ma_SF_C72	Ma_SF_C71	iyolgc013	gpalgc072	gs1lgc071	C72	SF	72	71	Can your child follow a simple spoken command or direction without you making a gesture? 
Ma_SF_C73	Ma_SF_C72	vinxxc006	gpaxxc073	gs1lgc072	C73	SF	73	72	Can your child fetch something when asked?
Ma_SF_C86	Ma_SF_C73	mdtsed018	gpasec086	gs1sec073	C86	SF	86	73	Does your child share with others (e.g., food)?
Ma_SF_C66	Ma_SF_C74	iyomoc024	gpamoc066	gs1moc074	C66	SF	66	74	Can your child take several steps (3-5) forward without holding onto any person or object, even if they fall down immediately afterward?
Ma_SF_C76	Ma_SF_C75	iyomoc028	gpamoc076	gs1moc075	C76	SF	76	75	While standing, can your child purposefully throw the ball and not just drop it?
Ma_SF_C69	Ma_SF_C76	aqigmc026	gpagmc069	gs1moc076	C69	SF	69	76	Can your child stand up from sitting by himself and take several steps forward?
Ma_SF_C94	Ma_SF_C77	mdtsed021	gpasec094	gs1lic077	C94	SF	94	77	Can your child break off a piece of food and feed it to him/her-self?
Ma_SF_C71	Ma_SF_C78	iyomoc025	gpamoc071	gs1moc078	C71	SF	71	78	Can your child make a scribble on paper, or in dirt, in a back and forth manner? For example, can he or she move the pen or pencil or stick back and forth? 
Ma_SF_C67	Ma_SF_C79	aqigmc027	gpagmc067	gs1moc079	C67	SF	67	79	Can your child move around by walking, rather than by crawling on his hands and knees?
Ma_SF_C77	Ma_SF_C80	iyomoc027	gpamoc077	gs1moc080	C77	SF	77	80	Can your child walk well, with coordination, without falling down often? With one foot in front of the other (rather than shifting weight side to side, stiff- legged)?
Ma_SF_C78	Ma_SF_C81	iyomoc030	gpamoc078	gs1moc081	C78	SF	78	81	Can your child stack at least two objects on top of each other, such as bottle tops, blocks, stones, etc.?
Ma_SF_C85	Ma_SF_C82	mdtsed017	gpasec085	gs1sec082	C85	SF	85	82	"Can your child greet people either by giving his/her hand or saying ""hello""? (use local examples of greeting)"
Ma_SF_C79	Ma_SF_C83	cromoc025	gpamoc079	gs1moc083	C79	SF	79	83	Can your child kick a ball or other round object forward using his/her foot? 
Ma_SF_C88	Ma_SF_C103	croclc023	gpaclc089	gs1lgc084	C89	SF	89	84	"Can your child say five or more separate words (e.g., names like ""Mama"" or objects like ""ball"")?"
Ma_SF_C81	Ma_SF_C85	iyolgc017	gpalgc081	gs1cgc085	C81	SF	81	85	Can your child follow directions with more than one step? For example, 'Go to the kitchen and bring me a spoon'?
Ma_SF_C96	Ma_SF_C86	croclc028	gpaclc096	gs1lgc086	C96	SF	96	86	Can your child correctly name at least one family member other than mom and dad (e.g., name of brother, sister, aunt, uncle)? 
Ma_SF_C99	Ma_SF_C87	iyolgc022	gpalgc099	gs1lgc087	C99	SF	99	87	Can your child identify at least seven objects? For example, when you ask 'where is the ball/spoon/cup/cloth/door/plate/bucket etc.' does your child look at or point to (or even name) the objects?
Ma_SF_C93	Ma_SF_C88	croclc025	gpaclc093	gs1lgc088	C93	SF	93	88	Can your child ask for something (e.g., food, water) by name when he/she wants it?
Ma_SF_C84	Ma_SF_C89	iyomoc032	gpamoc084	gs1moc089	C84	SF	84	89	Can your child run well, without falling or bumping into objects?
Ma_SF_C92	Ma_SF_C90	vinxxc048	gpaxxc092	gs1lic090	C92	SF	92	90	Can your child wash hands by him/herself?
Ma_SF_C80	Ma_SF_C91	iyomoc031	gpamoc080	gs1moc091	C80	SF	80	91	While standing, can your child kick a ball by swinging his/her leg forward?
Ma_SF_C87	Ma_SF_C92	vinxxc021	gpaxxc087	gs1lic092	C87	SF	87	92	Does your child dry hands by herself/himself after you have washed them?
Ma_SF_C95	Ma_SF_C93	mdtsed023	gpasec095	gs1sec093	C95	SF	95	93	Does your child show independence (e.g., wants to go and visit a friend's house)?
Ma_SF_C101	Ma_SF_C94	croclc034	gpaclc101	gs1lgc094	C101	SF	101	94	If you show your child an object he/she knows well (e.g., a cup or animal), can he/she consistently name it? 
Ma_SF_C83	Ma_SF_C95	cromoc029	gpamoc083	gs1moc095	C83	SF	83	95	Can your child stack three or more small objects (e.g., blocks, cups, bottle caps) on top of each other? 
Ma_SF_C97	Ma_SF_C96	cromoc031	gpamoc097	gs1moc096	C97	SF	97	96	Can your child walk on an uneven surface (e.g., a bumpy or steep road) without falling? 
Ma_SF_C102	Ma_SF_C97	iyolgc023	gpalgc102	gs1lgc097	C102	SF	102	97	Does your child usually communicate with words what he/she wants in a way that is understandable to others?
Ma_SF_C90	Ma_SF_C98	aqicmc033	gpacmc090	gs1lgc098	C90	SF	90	98	"Can your child say ten or more words in addition to ""Mama"" and ""Dada""?"
Ma_SF_C98	Ma_SF_C99	iyolgc021	gpalgc098	gs1lgc099	C98	SF	98	99	"When looking at pictures, if you say to your child ""what is this?"", can they say the name of the object that you point to?"
Ma_SF_C91	Ma_SF_C100	croclc024	gpaclc091	gs1lgc100	C91	SF	91	100	Can your child speak using short sentences of two words that go together (e.g., 'Mama go' or 'Dada eat'?
Ma_SF_C110	Ma_SF_C101	cromoc033	gpamoc110	gs1moc101	C110	SF	110	101	Can your child unscrew the lid from a bottle or jar? 
Ma_SF_C130	Ma_SF_C102	mdtsed029	gpasec130	gs1sec102	C130	SF	130	102	Does your child help out around the house with simple chores, even if he/she doesn't do them well? (use local examples of chores)
Ma_SF_C89	Ma_SF_C84	mdtsed019	gpasec088	gs1lic103	C88	SF	88	103	Is your child able to go poo or pee without having accidents (wetting or soiling themselves)?
Ma_SF_C112	Ma_SF_C104	croclc029	gpaclc112	gs1lgc104	C112	SF	112	104	"Can your child speak using sentences of three or more words that go together (e.g., ""I want water"" or ""The house is big"")?"
Ma_SF_C100	Ma_SF_C105	croclc038	gpaclc100	gs1lgc105	C100	SF	100	105	Can your child name at least two body parts (e.g., arm, eye, or nose)? 
Ma_SF_C104	Ma_SF_C106	cromoc035	gpamoc104	gs1lic106	C104	SF	104	106	Can your child remove an item of clothing (e.g., take off his/her shirt)? 
Ma_SF_C105	Ma_SF_C107	croclc027	gpaclc105	gs1lgc107	C105	SF	105	107	"Can your child say 15 or more separate words (e.g., names like ""Mama"" or objects like ""ball"")?"
Ma_SF_C106	Ma_SF_C108	cromoc034	gpamoc106	gs1moc108	C106	SF	106	108	Can your child jump with both feet leaving the ground? 
Ma_SF_C108	Ma_SF_C109	croclc032	gpaclc108	gs1lgc109	C108	SF	108	109	Can your child tell you or someone familiar his/her own name [nickname] when asked to?
Ma_SF_C115	Ma_SF_C110	croclc042	gpaclc115	gs1lgc110	C115	SF	115	110	"Can your child correctly ask questions using any of the words ""what"", ""which"", ""where"", or ""who""?"
Ma_SF_C137	Ma_SF_C111	mdtsed032	gpasec137	gs1sec111	C137	SF	137	111	Does your child show respect around elders?
Ma_SF_C113	Ma_SF_C112	croclc031	gpaclc113	gs1lgc112	C113	SF	113	112	"Can your child correctly use any of the words ""I,"" ""you,"" ""she,"" or ""he"" (e.g., ""I go to store,"" or ""He eats rice"")?"
Ma_SF_C107	Ma_SF_C113	croclc037	gpaclc107	gs1lgc113	C107	SF	107	113	Can your child sing a short song or repeat parts of a rhyme from memory by him/herself? 
Ma_SF_C111	Ma_SF_C114	iyolgc026	gpalgc111	gs1cgc114	C111	SF	111	114	"Does your child know the difference between the words ""big"" and ""small""? For example, if you ask, ""Give me the big spoon"" can your child understand which one to give if there are two different sizes?"
Ma_SF_C116	Ma_SF_C115	croclc046	gpaclc116	gs1lgc115	C116	SF	116	115	Does your child pronounce most of his/her words correctly? 
Ma_SF_C134	Ma_SF_C116	mdtsed033	gpasec134	gs1lic116	C134	SF	134	116	Can your child go to the toilet by him/her-self?
Ma_SF_C120	Ma_SF_C117	croclc049	gpaclc120	gs1lgc117	C120	SF	120	117	"If you point to an object, can your child correctly use the words ""on,"" ""in,"" or ""under"" to describe where it is (e.g., ""The cup is on the table"" instead of ""The cup is in the table."")"
Ma_SF_C109	Ma_SF_C118	mdtsed026	gpasec109	gs1lic118	C109	SF	109	118	Can your child put on at least one piece of clothing by himself?
Ma_SF_C119	Ma_SF_C119	croclc039	gpaclc119	gs1lgc119	C119	SF	119	119	Can your child explain in words what common objects like a cup or chair are used for? 
Ma_SF_C103	Ma_SF_C120	iyomoc037	gpamoc103	gs1moc120	C103	SF	103	120	Can your child draw a straight line?
Ma_SF_C114	Ma_SF_C121	crosec042	gpasec114	gs1lgc121	C114	SF	114	121	"Can your child say what he/she likes or dislikes (e.g., ""I like sweets"")?"
Ma_SF_C117	Ma_SF_C122	croclc035	gpaclc117	gs1cgc122	C117	SF	117	122	If you show your child two objects or people of different size, can he/she tell you which one is the big one and which is the small one? 
Ma_SF_C121	Ma_SF_C123	croclc050	gpaclc121	gs1lgc123	C121	SF	121	123	"Does your child regularly use describing words such as ""fast,"" ""short,"" ""hot,"" ""fat,"" or ""beautiful"" correctly?"
Ma_SF_C123	Ma_SF_C124	mdtsed028	gpasec123	gs1sec124	C123	SF	123	124	Does your child know to keep quiet when the situation requires it? (e.g., at ceremonies, when someone is asleep)
Ma_SF_C124	Ma_SF_C125	croclc051	gpaclc124	gs1lgc125	C124	SF	124	125	"Does your child ask ""why"" questions (e.g., ""Why are you tall?"")?"
Ma_SF_C135	Ma_SF_C126	iyomoc039	gpamoc135	gs1moc126	C135	SF	135	126	Can your child stand on one foot WITHOUT any support for at least a few seconds?
Ma_SF_C126	Ma_SF_C127	croclc043	gpaclc126	gs1cgc127	C126	SF	126	127	If you ask your child to give you three objects (e.g., stones, beans), does the child give you the correct amount? 
Ma_SF_C131	Ma_SF_C128	iyolgc029	gpalgc131	gs1cgc128	C131	SF	131	128	Does your child understand the term 'longest'? For example, if you ask him/her to choose 'which is the longest of 3 objects?' (e.g. 3 spoons or sticks), would he/she be able to choose the longest?
Ma_SF_C138	Ma_SF_C129	croclc045	gpaclc138	gs1lgc129	C138	SF	138	129	"Can your child talk about things that have happened in the past using correct language (e.g., ""Yesterday I played with my friend"" or ""Last week she went to the market"")?"
Ma_SF_C127	Ma_SF_C130	iyolgc030	gpalgc127	gs1lgc130	C127	SF	127	130	Can your child tell a story?
Ma_SF_C125	Ma_SF_C131	crosec049	gpasec125	gs1sec131	C125	SF	125	131	Can your child tell you when he/she is happy, angry, or sad? 
Ma_SF_C122	Ma_SF_C132	croclc044	gpaclc122	gs1cgc132	C122	SF	122	132	Can the child name at least one color (e.g., red, blue, yellow)? 
Ma_SF_C118	Ma_SF_C133	croclc041	gpaclc118	gs1cgc133	C118	SF	118	133	Can your child count objects up to five  (e.g., fingers, people)? 
Ma_SF_C133	Ma_SF_C134	iyomoc038	gpamoc133	gs1moc134	C133	SF	133	134	If you draw a circle can your child do it, just as you did?
Ma_SF_C128	Ma_SF_C135	crosec059	gpasec128	gs1sec135	C128	SF	128	135	Can your child tell you when others are happy, angry, or sad? 
Ma_SF_C139	Ma_SF_C136	croclc048	gpaclc139	gs1lgc136	C139	SF	139	136	"Can your child talk about things that will happen in the future using correct language (e.g., ""Tomorrow he will attend school"" or ""Next week we will go to the market"")?"
Ma_SF_C132	Ma_SF_C137	cromoc039	gpamoc132	gs1moc137	C132	SF	132	137	Can the child fasten and unfasten buttons without help? 
Ma_SF_C129	Ma_SF_C138	iyomoc040	gpamoc129	gs1lic138	C129	SF	129	138	Can your child dress him/herself completely (except for shoelaces, buttons and zippers)?
Ma_SF_C136	Ma_SF_C139	crosec051	gpasec136	gs1sec139	C136	SF	136	139	"Can your child say what others like or dislike (e.g., ""Mama doesn't like fruit,"" ""Papa likes football"")?"
bsid_cog01		by3cgd001	by3cgd001		cog01				Calms when picked up
bsid_cog02		by3cgd002	by3cgd002		cog02				Responds to surroundings: inspects
bsid_cog03		by3cgd003	by3cgd003		cog03				Regards 3 sec
bsid_cog04		by3cgd004	by3cgd004		cog04				Habituates rattle
bsid_cog05		by3cgd005	by3cgd005		cog05				Discriminates between obj
bsid_cog06		by3cgd006	by3cgd006		cog06				Recog caregiver
bsid_cog07		by3cgd007	by3cgd007		cog07				Becomes excited antic
bsid_cog08		by3cgd008	by3cgd008		cog08				Regards object 5 sec
bsid_cog09		by3cgd009	by3cgd009		cog09				Reacts disappear face
bsid_cog10		by3cgd010	by3cgd010		cog10				Shifts attention
bsid_cog11		by3cgd011	by3cgd011		cog11				Shows visual pref
bsid_cog12		by3cgd012	by3cgd012		cog12				Habituates to object
bsid_cog13		by3cgd013	by3cgd013		cog13				Prefers novel obj
bsid_cog14		by3cgd014	by3cgd014		cog14				Habituates pict - balloons
bsid_cog15		by3cgd015	by3cgd015		cog15				Prefers novel pict
bsid_cog16		by3cgd016	by3cgd016		cog16				Explores object
bsid_cog17		by3cgd017	by3cgd017		cog17				Carries object to mouth
bsid_cog18		by3cgd018	by3cgd018		cog18				Inspects own hand
bsid_cog19		by3cgd019	by3cgd019		cog19				Mirror Image Series: Approaches
bsid_cog20		by3cgd020	by3cgd020		cog20				"Responds to surroundings; awareness of novelty"
bsid_cog21		by3cgd021	by3cgd021		cog21				Persistent reach
bsid_cog22		by3cgd022	by3cgd022		cog22				Mirror Image Series: Responds positively
bsid_cog23		by3cgd023	by3cgd023		cog23				Plays with string
bsid_cog24		by3cgd024	by3cgd024		cog24				Bangs in play
bsid_cog25		by3cgd025	by3cgd025		cog25				Searches for fallen object
bsid_cog26		by3cgd026	by3cgd026		cog26				Bell Series: Manipulates
bsid_cog27		by3cgd027	by3cgd027		cog27				Picks Up Block Series: Reaches for second block
bsid_cog28		by3cgd028	by3cgd028		cog28				Pulls cloth to obtain object
bsid_cog29		by3cgd029	by3cgd029		cog29				Pulls string adaptively
bsid_cog30		by3cgd030	by3cgd030		cog30				Retains both blocks
bsid_cog31		by3cgd031	by3cgd031		cog31				Bell Series: Rings purposely
bsid_cog32		by3cgd032	by3cgd032		cog32				Looks at pictures
bsid_cog33		by3cgd033	by3cgd033		cog33				Picks Up Block Series: Retains 2 of 3 blocks
bsid_cog34		by3cgd034	by3cgd034		cog34				Searches for missing objects
bsid_cog35		by3cgd035	by3cgd035		cog35				Takes blocks out of cup
bsid_cog36		by3cgd036	by3cgd036		cog36				Block Series: 1 Block
bsid_cog37		by3cgd037	by3cgd037		cog37				Picks up Block Series: 3 blocks
bsid_cog38		by3cgd038	by3cgd038		cog38				Explores holes in pegboard
bsid_cog39		by3cgd039	by3cgd039		cog39				Pushes car
bsid_cog40		by3cgd040	by3cgd040		cog40				Finds hidden object
bsid_cog41		by3cgd041	by3cgd041		cog41				Suspends ring
bsid_cog42		by3cgd042	by3cgd042		cog42				Removes pellet
bsid_cog43		by3cgd043	by3cgd043		cog43				Clear Box: Front
bsid_cog44		by3cgd044	by3cgd044		cog44				Squeezes object
bsid_cog45		by3cgd045	by3cgd045		cog45				Finds hidden object (Reversed)
bsid_cog46		by3cgd046	by3cgd046		cog46				Removes lid from bottle
bsid_cog47		by3cgd047	by3cgd047		cog47				Pegboard Series: 2 holes
bsid_cog48		by3cgd048	by3cgd048		cog48				Relational Play Series: Self
bsid_cog49		by3cgd049	by3cgd049		cog49				Pink Board Series: 1 piece
bsid_cog50		by3cgd050	by3cgd050		cog50				Finds hidden object (Visible Displacement)
bsid_cog51		by3cgd051	by3cgd051		cog51				Blue Board Series: 1 piece
bsid_cog52		by3cgd052	by3cgd052		cog52				Clear Box: Sides
bsid_cog53		by3cgd053	by3cgd053		cog53				Relational Play Series: Others
bsid_cog54		by3cgd054	by3cgd054		cog54				Block Series: 9 Blocks
bsid_cog55		by3cgd055	by3cgd055		cog55				Pegboard Series: 6 Pegs
bsid_cog56		by3cgd056	by3cgd056		cog56				Pink Board Series: Completes
bsid_cog57		by3cgd057	by3cgd057		cog57				Uses pencil to obtain object
bsid_cog58		by3cgd058	by3cgd058		cog58				Blue Board Series: 4 Pieces
bsid_cog59		by3cgd059	by3cgd059		cog59				Attends to story
bsid_cog60		by3cgd060	by3cgd060		cog60				Rotated pink board
bsid_cog61		by3cgd061	by3cgd061		cog61				Object assembly (Ball)
bsid_cog62		by3cgd062	by3cgd062		cog62				Completes Pegboard: 25 Seconds
bsid_cog63		by3cgd063	by3cgd063		cog63				Object assembly (Ice Cream Cone)
bsid_cog64		by3cgd064	by3cgd064		cog64				Matches pictures
bsid_cog65		by3cgd065	by3cgd065		cog65				Representational play
bsid_cog66		by3cgd066	by3cgd066		cog66				Blue Board Series: Completes (75 seconds)
bsid_cog67		by3cgd067	by3cgd067		cog67				Imitates a two-step action.
bsid_cog68		by3cgd068	by3cgd068		cog68				Matches 3 colors
bsid_cog69		by3cgd069	by3cgd069		cog69				Imaginary play
bsid_cog70		by3cgd070	by3cgd070		cog70				Understands concept of one
bsid_cog71		by3cgd071	by3cgd071		cog71				Multischeme combination play
bsid_cog72		by3cgd072	by3cgd072		cog72				Concept Grouping: colour
bsid_cog73		by3cgd073	by3cgd073		cog73				Concept Grouping: Size
bsid_cog74		by3cgd074	by3cgd074		cog74				Compares masses
bsid_cog75		by3cgd075	by3cgd075		cog75				Matches size
bsid_cog76		by3cgd076	by3cgd076		cog76				Discriminates pictures
bsid_cog77		by3cgd077	by3cgd077		cog77				Simple pattern
bsid_cog78		by3cgd078	by3cgd078		cog78				Sorts pegs by colour
bsid_cog79		by3cgd079	by3cgd079		cog79				Counts (One-to-one correspondence)
bsid_cog80		by3cgd080	by3cgd080		cog80				Discriminates size
bsid_cog81		by3cgd081	by3cgd081		cog81				Identifies 3 incomplete pictures
bsid_cog82		by3cgd082	by3cgd082		cog82				Object assembly (Dog)
bsid_cog83		by3cgd083	by3cgd083		cog83				Discriminates patterns
bsid_cog84		by3cgd084	by3cgd084		cog84				Spatial memory
bsid_cog85		by3cgd085	by3cgd085		cog85				Counts (Cardinally)
bsid_cog86		by3cgd086	by3cgd086		cog86				Number constancy
bsid_cog87		by3cgd087	by3cgd087		cog87				Laces card
bsid_cog88		by3cgd088	by3cgd088		cog88				Classifies objects
bsid_cog89		by3cgd089	by3cgd089		cog89				Understands concept of more
bsid_cog90		by3cgd090	by3cgd090		cog90				Repeats number sequences
bsid_cog91		by3cgd091	by3cgd091		cog91				Completes patterns
bsid_rc01		by3red001	by3red001		rc01				Regards person momentarily
bsid_rc02		by3red002	by3red002		rc02				Tolerates attention
bsid_rc03		by3red003	by3red003		rc03				Calms when spoken to
bsid_rc04		by3red004	by3red004		rc04				Reacts to sound in environment
bsid_rc05		by3red005	by3red005		rc05				Responds to voice
bsid_rc06		by3red006	by3red006		rc06				Searches with head turn
bsid_rc07		by3red007	by3red007		rc07				Discriminates sounds
bsid_rc08		by3red008	by3red008		rc08				Sustained play with objects
bsid_rc09		by3red009	by3red009		rc09				Responds to name
bsid_rc10		by3red010	by3red010		rc10				Interrupts activity
bsid_rc11		by3red011	by3red011		rc11				Recognizes 2 familiar words
bsid_rc12		by3red012	by3red012		rc12				Responds to no-no
bsid_rc13		by3red013	by3red013		rc13				Attends to other's play routine
bsid_rc14		by3red014	by3red014		rc14				Responds to request for social routines
bsid_rc15		by3red015	by3red015		rc15				Identifies Object Series: 1 correct
bsid_rc16		by3red016	by3red016		rc16				Identifies object in the environment
bsid_rc17		by3red017	by3red017		rc17				Identifies Picture Series: 1 correct
bsid_rc18		by3red018	by3red018		rc18				Understands inhibitory words
bsid_rc19		by3red019	by3red019		rc19				Identifies Object Series: 3 correct
bsid_rc20		by3red020	by3red020		rc20				Follows one-part directions
bsid_rc21		by3red021	by3red021		rc21				Identifies Picture Series: 3 Correct
bsid_rc22		by3red022	by3red022		rc22				Identifies 3 clothing items
bsid_rc23		by3red023	by3red023		rc23				Identifies Action Picture Series: 1 correct
bsid_rc24		by3red024	by3red024		rc24				Identifies 5 parts of the body
bsid_rc25		by3red025	by3red025		rc25				Follows two-part directions
bsid_rc26		by3red026	by3red026		rc26				Identifies Action Picture Series: 3 correct
bsid_rc27		by3red027	by3red027		rc27				Understands use of objects
bsid_rc28		by3red028	by3red028		rc28				Understands part/whole relationships
bsid_rc29		by3red029	by3red029		rc29				Identifies Action Picture Series: 5 correct
bsid_rc30		by3red030	by3red030		rc30				Understands pronouns (him, me, my, you, your)
bsid_rc31		by3red031	by3red031		rc31				Understands labels for sizes
bsid_rc32		by3red032	by3red032		rc32				Understands Preposition Series: 2 correct
bsid_rc33		by3red033	by3red033		rc33				Understands possessives
bsid_rc34		by3red034	by3red034		rc34				Understands verb +ing
bsid_rc35		by3red035	by3red035		rc35				Identifies colours
bsid_rc36		by3red036	by3red036		rc36				Understands label of one
bsid_rc37		by3red037	by3red037		rc37				Understands pronouns (they, he, she)
bsid_rc38		by3red038	by3red038		rc38				Understands pronouns (his, her)
bsid_rc39		by3red039	by3red039		rc39				Understands plurals
bsid_rc40		by3red040	by3red040		rc40				Understands more
bsid_rc41		by3red041	by3red041		rc41				Understands most
bsid_rc42		by3red042	by3red042		rc42				Understands Preposition Series: 4 correct
bsid_rc43		by3red043	by3red043		rc43				Understands negatives in sentences
bsid_rc44		by3red044	by3red044		rc44				Understands past tense
bsid_rc45		by3red045	by3red045		rc45				Understands labels for mass
bsid_rc46		by3red046	by3red046		rc46				Understands least
bsid_rc47		by3red047	by3red047		rc47				Understands less
bsid_rc48		by3red048	by3red048		rc48				Understands descriptive labels
bsid_rc49		by3red049	by3red049		rc49				Identifies categories of objects
bsid_ec01		by3exd001	by3exd001		ec01				Undifferentiated throaty sounds
bsid_ec02		by3exd002	by3exd002		ec02				Social smile
bsid_ec03		by3exd003	by3exd003		ec03				Vocalizes mood
bsid_ec04		by3exd004	by3exd004		ec04				Undifferentiated nasal sounds
bsid_ec05		by3exd005	by3exd005		ec05				Social vocalization or laughing
bsid_ec06		by3exd006	by3exd006		ec06				2 Vowel sounds
bsid_ec07		by3exd007	by3exd007		ec07				Gets attention
bsid_ec08		by3exd008	by3exd008		ec08				2 Consonant sounds
bsid_ec09		by3exd009	by3exd009		ec09				Uses gestures
bsid_ec10		by3exd010	by3exd010		ec10				Consonant-Vowel Combination Series: 1 Combination
bsid_ec11		by3exd011	by3exd011		ec11				Participates in play routine
bsid_ec12		by3exd012	by3exd012		ec12				Jabbers expressively
bsid_ec13		by3exd013	by3exd013		ec13				Consonant-Vowel Combination Series: 4 Combination
bsid_ec14		by3exd014	by3exd014		ec14				Uses one-word approximations
bsid_ec15		by3exd015	by3exd015		ec15				Directs attention of other
bsid_ec16		by3exd016	by3exd016		ec16				Imitates word
bsid_ec17		by3exd017	by3exd017		ec17				Initiates play interaction
bsid_ec18		by3exd018	by3exd018		ec18				Uses Words Appropriately Series: 2 words
bsid_ec19		by3exd019	by3exd019		ec19				Uses word to make wants known
bsid_ec20		by3exd020	by3exd020		ec20				Names Object Series: 1 Object
bsid_ec21		by3exd021	by3exd021		ec21				Combines word and gesture
bsid_ec22		by3exd022	by3exd022		ec22				Names Picture Series: 1 Picture
bsid_ec23		by3exd023	by3exd023		ec23				Uses Words Appropriately Series: 8 words
bsid_ec24		by3exd024	by3exd024		ec24				Answers yes or no verbally in response to questions
bsid_ec25		by3exd025	by3exd025		ec25				Imitates a two-word utterance
bsid_ec26		by3exd026	by3exd026		ec26				Uses a two-word utterance
bsid_ec27		by3exd027	by3exd027		ec27				Names Object Series: 3 Object
bsid_ec28		by3exd028	by3exd028		ec28				Names Picture Series: 5 Pictures
bsid_ec29		by3exd029	by3exd029		ec29				Uses multiple-word utterances
bsid_ec30		by3exd030	by3exd030		ec30				Uses pronouns
bsid_ec31		by3exd031	by3exd031		ec31				Names Action Picture Series: 1 Picture
bsid_ec32		by3exd032	by3exd032		ec32				Poses multiple-word questions
bsid_ec33		by3exd033	by3exd033		ec33				Makes a contingent utterance
bsid_ec34		by3exd034	by3exd034		ec34				Uses verb +ing
bsid_ec35		by3exd035	by3exd035		ec35				Names Action Picture Series: 3 Pictures
bsid_ec36		by3exd036	by3exd036		ec36				Uses different word combinations
